,Date,economy_avg,foreign_policy_avg,immigration_avg,inflation_avg,economy_std,foreign_policy_std,immigration_std,inflation_std,trade_tariffs_avg,trade_tariffs_std,healthcare_avg,healthcare_std,crime_avg,crime_std,economy_upper_CI,economy_lower_CI,foreign_policy_upper_CI,foreign_policy_lower_CI,immigration_upper_CI,immigration_lower_CI,inflation_upper_CI,inflation_lower_CI,trade_tariffs_upper_CI,trade_tariffs_lower_CI,healthcare_upper_CI,healthcare_lower_CI,crime_upper_CI,crime_lower_CI
104,2025-05-14,-12.510197373410659,-9.113496803572962,-0.46028506175043205,-22.102817789243073,4.653413897807209,4.487071037729227,5.054347172861504,4.947964372976806,-16.15910171102183,7.587889182647862,-11.053914464632458,5.419302985731844,5.984962341909603,3.568222600961949,-7.85678347560345,-17.163611271217867,-4.626425765843735,-13.60056784130219,4.5940621111110715,-5.514632234611936,-17.154853416266267,-27.05078216221988,-8.571212528373968,-23.74699089366969,-5.634611478900614,-16.473217450364302,9.553184942871553,2.416739740947654
105,2025-05-15,-12.18792309090213,-8.956516708461828,0.37811271884859493,-22.78093489162755,5.0360622496808585,5.441716991137212,5.049525962254387,8.042327676573723,-17.648550343150262,8.29133736761585,-11.047346245955415,5.416968797387695,5.985032747877138,3.570298892495259,-7.151860841221271,-17.22398534058299,-3.5147997173246166,-14.39823369959904,5.427638681102982,-4.671413243405793,-14.738607215053825,-30.823262568201272,-9.357212975534413,-25.93988771076611,-5.63037744856772,-16.46431504334311,9.555331640372398,2.4147338553818796
106,2025-05-16,-12.191463637591818,-8.952539908484997,0.37776649385722677,-22.793345619595176,5.037525194653055,5.442913430788994,5.048638584549483,8.043630430240627,-17.650121680754882,8.294201905629205,-11.039121877112752,5.414082947306069,5.985644526179705,3.5725517605728134,-7.153938442938763,-17.228988832244873,-3.5096264776960036,-14.395453339273992,5.4264050784067095,-4.6708720906922565,-14.749715189354548,-30.836976049835805,-9.355919775125678,-25.944323586384087,-5.625038929806683,-16.45320482441882,9.55819628675252,2.4130927656068915
107,2025-05-17,-12.194232302156285,-8.947787995065516,0.3783817998937077,-22.805202485452444,5.039811938487025,5.444418675304971,5.047721064516514,8.045993375648209,-17.649904374561515,8.297552638837516,-11.026477679495375,5.409441379975641,5.9885208899050815,3.573391761889184,-7.15442036366926,-17.23404424064331,-3.5033693197605453,-14.392206670370488,5.426102864410222,-4.669339264622806,-14.759209109804235,-30.851195861100653,-9.352351735724,-25.94745701339903,-5.617036299519734,-16.43591905947102,9.561912651794266,2.4151291280158973
108,2025-05-18,-12.277391958866732,-8.745968424251103,0.49011712227042487,-22.916266732515865,4.896898162283575,5.292206099760219,4.955013697013281,7.773762262802609,-17.649231718789284,8.301162555403065,-11.011419282660693,5.403924891793799,5.992295716551191,3.5742265651687077,-7.380493796583156,-17.174290121150307,-3.453762324490884,-14.038174524011321,5.445130819283706,-4.464896574742856,-15.142504469713256,-30.690028995318475,-9.348069163386219,-25.950394274192348,-5.607494390866894,-16.415344174454493,9.566522281719898,2.4180691513824835
109,2025-05-19,-11.917473796520767,-8.342248443173737,0.8122862806081048,-22.24500450298776,5.0362792392124165,5.274969497478001,5.066571383493458,7.878462267393561,-16.798551349262418,8.617693031648175,-10.9936542175119,5.397408263200763,6.198172651762488,2.778945521179242,-6.88119455730835,-16.953753035733182,-3.067278945695737,-13.617217940651738,5.878857664101563,-4.254285102885353,-14.3665422355942,-30.123466770381324,-8.180858317614243,-25.41624438091059,-5.5962459543111365,-16.391062480712662,8.97711817294173,3.419227130583246
110,2025-05-20,-12.375647721989763,-8.336021095527384,-0.3079560421918871,-22.258433925915423,5.46101106128116,5.276558739106733,4.685215528446956,7.8830222223679405,-16.795694455390716,8.622663937710715,-10.972849822070414,5.389743234644565,6.2019314209003165,2.778286163291144,-6.914636660708603,-17.836658783270924,-3.059462356420651,-13.612579834634117,4.377259486255069,-4.993171570638843,-14.375411703547481,-30.141456148283364,-8.17303051768,-25.418358393101432,-5.583106587425848,-16.362593056714978,8.980217584191461,3.4236452576091723
111,2025-05-21,-12.379070778529915,-8.328714031815162,-0.30572105066457844,-22.273317361520714,5.465552190582304,5.278403490065986,4.68426498759415,7.888585904519369,-16.791926631516954,8.628561747725684,-10.948625725378097,5.380752906702434,6.206486503353373,2.7773074357262386,-6.91351858794761,-17.84462296911222,-3.050310541749176,-13.607117521881147,4.378543936929572,-4.989986038258729,-14.384731457001346,-30.161903266040085,-8.163364883791271,-25.420488379242638,-5.567872818675663,-16.32937863208053,8.98379393907961,3.4291790676271345
112,2025-05-22,-12.382711320765312,-8.320206941365168,-0.3028810954015084,-22.28981057245678,5.470895647275836,5.280527953102854,4.683263821805049,7.8952670478304,-16.787138282465556,8.63548940260746,-10.920544520195033,5.370224478038184,6.211926629229496,2.775967238359508,-6.911815673489476,-17.85360696804115,-3.039678988262314,-13.600734894468022,4.380382726403541,-4.986144917206557,-14.39454352462638,-30.18507762028718,-8.151648879858095,-25.422627685073017,-5.55032004215685,-16.29076899823322,8.987893867589005,3.435959390869988
113,2025-05-23,-12.386545045120487,-8.31238816579748,-0.3001260155692296,-22.295655250030034,5.474468491820176,5.2829088729341995,4.682118419865979,7.904110848268821,-16.78082354943459,8.64233054845882,-10.888100098262811,5.357899731905524,6.218350067772482,2.7742176736046584,-6.912076553300311,-17.86101353694066,-3.0294792928632797,-13.59529703873168,4.381992404296749,-4.982244435435209,-14.391544401761212,-30.199766098298856,-8.13849300097577,-25.42315409789341,-5.5302003663572865,-16.245999830168337,8.99256774137714,3.4441323941678235
