end_date,dem,rep,net,dem_std,rep_std,net_std,dem_lower_ci,dem_upper_ci,rep_lower_ci,rep_upper_ci,net_lower_ci,net_upper_ci
2019-08-07,46.99217760090059,40.530806653357,-6.461370947543596,1.2886432550695184,0.86022473443141,1.5368601673841817,44.46643682096433,49.517918380836846,38.844766173871434,42.21684713284256,-9.473616875616592,-3.4491250194706
2019-08-08,46.90729905778789,40.598427675844164,-6.308871381943724,1.3041212805236257,0.8772606224132606,1.6173838758032162,44.351221347961584,49.46337676761419,38.878996855914174,42.31785849577415,-9.478943778518028,-3.13879898536942
2019-08-09,46.82622210872039,40.6623831348391,-6.1638389738812895,1.3129315616922217,0.8879901619081457,1.6768265864427623,44.252876247803634,49.39956796963714,38.92192241749913,42.40284385217906,-9.450419083309104,-2.8772588644534753
2019-08-10,46.82852503514343,40.63558383422979,-6.192941200913641,1.1627479498943303,0.7854849915460773,1.482094773079339,44.54953905335054,49.107511016936314,39.09603325079948,42.175134417660104,-9.097846956149144,-3.2880354456781364
2019-08-11,46.647873280500946,40.47721768264105,-6.1706555978598985,1.1790011043913147,0.7909213633354149,1.3307992029345586,44.33703111589397,48.95871544510792,38.927011810503636,42.02742355477846,-8.779022035611632,-3.562289160108164
2019-08-12,46.690927534335394,40.482004764775006,-6.208922769560389,1.1681607260412339,0.7736920622455644,1.3071885194967703,44.40133251129458,48.98052255737621,38.9655683227737,41.99844120677631,-8.771012267774058,-3.6468332713467193
2019-08-13,46.862742420335735,40.53349442701675,-6.329247993318982,1.2075838144912803,0.7610574410251467,1.314288949861147,44.49587814393283,49.22960669673864,39.04182184260746,42.025167011426035,-8.90525433504683,-3.7532416515911344
2019-08-14,46.84647871701646,40.58352185908987,-6.262956857926583,1.1841276531328977,0.7797413032644697,1.320895796870062,44.52558851687598,49.16736891715694,39.05522890469151,42.11181481348823,-8.851912619791905,-3.6740010960612612
2019-08-15,46.780336904642986,40.632283075119425,-6.148053829523561,1.194648486986687,0.794270021055823,1.3905543905722395,44.43882587014908,49.12184793913689,39.07551383385001,42.18905231638884,-8.87354043504515,-3.4225672240019716
2019-08-16,46.716515988930276,40.6797102757648,-6.036805713165475,1.2008159126350486,0.8051196167379552,1.4456571178340731,44.36291680016558,49.07011517769497,39.101675826958406,42.25774472457119,-8.870293664120258,-3.203317762210692
2019-08-17,46.70868142256188,40.67203657784881,-6.036644844713069,1.1723911413291073,0.7838240908622301,1.4064854654135557,44.41079478555683,49.00656805956693,39.13574135975884,42.208331795938776,-8.793356356923638,-3.2799333325025
2019-08-18,46.70072184672165,40.60973473535805,-6.090987111363595,1.1440667264975182,0.7990392829725849,1.3806041027590166,44.45835106278651,48.943092630656786,39.04361774073179,42.175851729984316,-8.796971152771267,-3.3850030699559226
2019-08-19,46.69269074825539,40.6079972955946,-6.084693452660788,1.1158254011406994,0.776137101484841,1.3422097728130653,44.50567296201962,48.87970853449116,39.086768576684314,42.12922601450489,-8.715424607374395,-3.4539622979471796
