pollster,sponsors,sponsor_candidate,state,start_date,end_date,sample_size,population,candidate_name,pct,party,url,mode,tracking,partisan,internal,hypothetical
Capitol Weekly,NA,NA,California,2025-02-03,2025-02-07,1200,RV,Katie Porter,26,DEM,https://capitolweekly.net/ca-120-dems-in-a-funk-but-harris-and-newsom-could-still-shine/,NA,FALSE,NA,FALSE,TRUE
Capitol Weekly,NA,NA,California,2025-02-03,2025-02-07,1200,RV,Lanhee Chen,9,REP,https://capitolweekly.net/ca-120-dems-in-a-funk-but-harris-and-newsom-could-still-shine/,NA,FALSE,NA,FALSE,TRUE
Capitol Weekly,NA,NA,California,2025-02-03,2025-02-07,1200,RV,Betty T. Yee,3,DEM,https://capitolweekly.net/ca-120-dems-in-a-funk-but-harris-and-newsom-could-still-shine/,NA,FALSE,NA,FALSE,TRUE
Capitol Weekly,NA,NA,California,2025-02-03,2025-02-07,1200,RV,John Cox,21,REP,https://capitolweekly.net/ca-120-dems-in-a-funk-but-harris-and-newsom-could-still-shine/,NA,FALSE,NA,FALSE,TRUE
Capitol Weekly,NA,NA,California,2025-02-03,2025-02-07,1200,RV,Antonio Ramón Villaraigosa,3,DEM,https://capitolweekly.net/ca-120-dems-in-a-funk-but-harris-and-newsom-could-still-shine/,NA,FALSE,NA,FALSE,TRUE
Capitol Weekly,NA,NA,California,2025-02-03,2025-02-07,1200,RV,Laphonza Romanique Butler,4,DEM,https://capitolweekly.net/ca-120-dems-in-a-funk-but-harris-and-newsom-could-still-shine/,NA,FALSE,NA,FALSE,TRUE
Capitol Weekly,NA,NA,California,2025-02-03,2025-02-07,1200,RV,Tony K. Thurmond,2,DEM,https://capitolweekly.net/ca-120-dems-in-a-funk-but-harris-and-newsom-could-still-shine/,NA,FALSE,NA,FALSE,TRUE
Capitol Weekly,NA,NA,California,2025-02-03,2025-02-07,1200,RV,Toni G. Atkins,3,DEM,https://capitolweekly.net/ca-120-dems-in-a-funk-but-harris-and-newsom-could-still-shine/,NA,FALSE,NA,FALSE,TRUE
Capitol Weekly,NA,NA,California,2025-02-03,2025-02-07,1200,RV,Rob Bonta,9,DEM,https://capitolweekly.net/ca-120-dems-in-a-funk-but-harris-and-newsom-could-still-shine/,NA,FALSE,NA,FALSE,TRUE
Capitol Weekly,NA,NA,California,2025-02-03,2025-02-07,1200,RV,Rick Caruso,8,DEM,https://capitolweekly.net/ca-120-dems-in-a-funk-but-harris-and-newsom-could-still-shine/,NA,FALSE,NA,FALSE,TRUE
Emerson College,"Inside California Politics, The Hill",NA,California,2025-04-12,2025-04-14,911,LV,Xavier Becerra,1.8,DEM,https://emersoncollegepolling.com/april-2025-california-poll-harris-leads-hypothetical-gubernatorial-primary-50-of-voters-think-she-should-not-run/,Online Opt-In Panel/Text-to-Web,FALSE,NA,FALSE,TRUE
Emerson College,"Inside California Politics, The Hill",NA,California,2025-04-12,2025-04-14,911,LV,Eleni Kounalakis,2,DEM,https://emersoncollegepolling.com/april-2025-california-poll-harris-leads-hypothetical-gubernatorial-primary-50-of-voters-think-she-should-not-run/,Online Opt-In Panel/Text-to-Web,FALSE,NA,FALSE,TRUE
Emerson College,"Inside California Politics, The Hill",NA,California,2025-04-12,2025-04-14,911,LV,Tony K. Thurmond,0.7,DEM,https://emersoncollegepolling.com/april-2025-california-poll-harris-leads-hypothetical-gubernatorial-primary-50-of-voters-think-she-should-not-run/,Online Opt-In Panel/Text-to-Web,FALSE,NA,FALSE,TRUE
Emerson College,"Inside California Politics, The Hill",NA,California,2025-04-12,2025-04-14,911,LV,Betty T. Yee,1.1,DEM,https://emersoncollegepolling.com/april-2025-california-poll-harris-leads-hypothetical-gubernatorial-primary-50-of-voters-think-she-should-not-run/,Online Opt-In Panel/Text-to-Web,FALSE,NA,FALSE,TRUE
Emerson College,"Inside California Politics, The Hill",NA,California,2025-04-12,2025-04-14,911,LV,Michael Younger,0.2,DEM,https://emersoncollegepolling.com/april-2025-california-poll-harris-leads-hypothetical-gubernatorial-primary-50-of-voters-think-she-should-not-run/,Online Opt-In Panel/Text-to-Web,FALSE,NA,FALSE,TRUE
Emerson College,"Inside California Politics, The Hill",NA,California,2025-04-12,2025-04-14,911,LV,Katie Porter,7.7,DEM,https://emersoncollegepolling.com/april-2025-california-poll-harris-leads-hypothetical-gubernatorial-primary-50-of-voters-think-she-should-not-run/,Online Opt-In Panel/Text-to-Web,FALSE,NA,FALSE,TRUE
Emerson College,"Inside California Politics, The Hill",NA,California,2025-04-12,2025-04-14,911,LV,Antonio Ramón Villaraigosa,1.9,DEM,https://emersoncollegepolling.com/april-2025-california-poll-harris-leads-hypothetical-gubernatorial-primary-50-of-voters-think-she-should-not-run/,Online Opt-In Panel/Text-to-Web,FALSE,NA,FALSE,TRUE
Emerson College,"Inside California Politics, The Hill",NA,California,2025-04-12,2025-04-14,911,LV,Leo S. Zacky,0.3,REP,https://emersoncollegepolling.com/april-2025-california-poll-harris-leads-hypothetical-gubernatorial-primary-50-of-voters-think-she-should-not-run/,Online Opt-In Panel/Text-to-Web,FALSE,NA,FALSE,TRUE
